"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 04 01:09:07 UTC 2023","Mon Dec 04 01:09:08 UTC 2023","1050","tests","test_SwagLab_Login","","","","TC1 Validar cálculos",""
"passed","Mon Dec 04 01:09:10 UTC 2023","Mon Dec 04 01:09:11 UTC 2023","546","tests","test_SwagLab_Login","","","","TC2 Validar cálculos",""
